    N     E(MeV)   Elastic(b)   Inelastic(b) Capture(b)   Fission(b)   Total(b)
  609         610     0.02828     0.007241            0            0      0.03552
  610         611     0.02826     0.007274            0            0      0.03553
  611         612     0.02824     0.007307            0            0      0.03555
  612         613     0.02823      0.00734            0            0      0.03557
  613         614     0.02821     0.007373            0            0      0.03558
  614         615     0.02819     0.007406            0            0       0.0356
  615         616     0.02818     0.007439            0            0      0.03562
  616         617     0.02816     0.007472            0            0      0.03563
  617         618     0.02814     0.007505            0            0      0.03565
  618         619     0.02813     0.007538            0            0      0.03567
  619         620     0.02811     0.007571            0            0      0.03568
  620         621      0.0281     0.007604            0            0       0.0357
  621         622     0.02808     0.007637            0            0      0.03572
  622         623     0.02806      0.00767            0            0      0.03573
  623         624     0.02805     0.007703            0            0      0.03575
  624         625     0.02803     0.007736            0            0      0.03577
  625         626     0.02801     0.007769            0            0      0.03578
  626         627       0.028     0.007802            0            0       0.0358
  627         628     0.02798     0.007835            0            0      0.03582
  628         629     0.02797     0.007868            0            0      0.03583
  629         630     0.02795     0.007901            0            0      0.03585
  630         631     0.02793     0.007934            0            0      0.03587
  631         632     0.02792     0.007967            0            0      0.03588
  632         633      0.0279        0.008            0            0       0.0359
  633         634     0.02788     0.008033            0            0      0.03592
  634         635     0.02787     0.008066            0            0      0.03593
  635         636     0.02785     0.008099            0            0      0.03595
  636         637     0.02783     0.008132            0            0      0.03597
  637         638     0.02782     0.008165            0            0      0.03598
  638         639      0.0278     0.008198            0            0        0.036
  639         640     0.02779     0.008231            0            0      0.03602
  640         641     0.02777     0.008264            0            0      0.03603
  641         642     0.02775     0.008296            0            0      0.03605
  642         643     0.02774     0.008329            0            0      0.03607
  643         644     0.02772     0.008362            0            0      0.03608
  644         645      0.0277     0.008395            0            0       0.0361
  645         646     0.02769     0.008428            0            0      0.03612
  646         647     0.02767     0.008461            0            0      0.03613
  647         648     0.02766     0.008494            0            0      0.03615
  648         649     0.02764     0.008527            0            0      0.03617
  649         650     0.02762      0.00856            0            0      0.03618
  650         651     0.02761     0.008593            0            0       0.0362
  651         652     0.02759     0.008626            0            0      0.03622
  652         653     0.02757     0.008659            0            0      0.03623
  653         654     0.02756     0.008692            0            0      0.03625
  654         655     0.02754     0.008725            0            0      0.03627
  655         656     0.02753     0.008758            0            0      0.03628
  656         657     0.02751     0.008791            0            0       0.0363
  657         658     0.02749     0.008824            0            0      0.03632
  658         659     0.02748     0.008857            0            0      0.03633
  659         660     0.02746      0.00889            0            0      0.03635
  660         661     0.02744     0.008923            0            0      0.03637
  661         662     0.02743     0.008956            0            0      0.03638
  662         663     0.02741     0.008989            0            0       0.0364
  663         664     0.02739     0.009022            0            0      0.03642
  664         665     0.02738     0.009055            0            0      0.03643
  665         666     0.02736     0.009088            0            0      0.03645
  666         667     0.02735     0.009121            0            0      0.03647
  667         668     0.02733     0.009154            0            0      0.03648
  668         669     0.02731     0.009187            0            0       0.0365
  669         670      0.0273      0.00922            0            0      0.03652
  670         671     0.02728     0.009253            0            0      0.03653
  671         672     0.02726     0.009286            0            0      0.03655
  672         673     0.02725     0.009319            0            0      0.03657
  673         674     0.02723     0.009352            0            0      0.03658
  674         675     0.02722     0.009385            0            0       0.0366
  675         676      0.0272     0.009417            0            0      0.03662
  676         677     0.02718      0.00945            0            0      0.03663
  677         678     0.02717     0.009483            0            0      0.03665
  678         679     0.02715     0.009516            0            0      0.03667
  679         680     0.02713     0.009549            0            0      0.03668
  680         681     0.02712     0.009582            0            0       0.0367
  681         682      0.0271     0.009615            0            0      0.03672
  682         683     0.02709     0.009648            0            0      0.03673
  683         684     0.02707     0.009681            0            0      0.03675
  684         685     0.02705     0.009714            0            0      0.03677
  685         686     0.02704     0.009747            0            0      0.03678
  686         687     0.02702      0.00978            0            0       0.0368
  687         688       0.027     0.009813            0            0      0.03682
  688         689     0.02699     0.009846            0            0      0.03683
  689         690     0.02697     0.009879            0            0      0.03685
  690         691     0.02695     0.009912            0            0      0.03687
  691         692     0.02694     0.009945            0            0      0.03688
  692         693     0.02692     0.009978            0            0       0.0369
  693         694     0.02691      0.01001            0            0      0.03692
  694         695      0.0269      0.01004            0            0      0.03694
  695         696     0.02689      0.01008            0            0      0.03697
  696         697     0.02688      0.01011            0            0      0.03699
  697         698     0.02687      0.01014            0            0      0.03701
  698         699     0.02686      0.01018            0            0      0.03703
  699         700     0.02685      0.01021            0            0      0.03705
  700         701     0.02684      0.01024            0            0      0.03708
  701         702     0.02682      0.01027            0            0       0.0371
  702         703     0.02681      0.01031            0            0      0.03712
  703         704      0.0268      0.01034            0            0      0.03714
  704         705     0.02679      0.01037            0            0      0.03717
  705         706     0.02678       0.0104            0            0      0.03718
  706         707     0.02677      0.01042            0            0      0.03719
  707         708     0.02676      0.01044            0            0       0.0372
  708         709     0.02675      0.01047            0            0      0.03722
  709         710     0.02674      0.01049            0            0      0.03723
  710         711     0.02673      0.01051            0            0      0.03724
  711         712     0.02672      0.01053            0            0      0.03725
  712         713     0.02671      0.01056            0            0      0.03726
  713         714     0.02669      0.01058            0            0      0.03727
  714         715     0.02668       0.0106            0            0      0.03729
  715         716     0.02667      0.01062            0            0       0.0373
  716         717     0.02666      0.01065            0            0      0.03731
  717         718     0.02665      0.01067            0            0      0.03732
  718         719     0.02664      0.01069            0            0      0.03733
  719         720     0.02663      0.01071            0            0      0.03734
  720         721     0.02662      0.01074            0            0      0.03736
  721         722     0.02661      0.01076            0            0      0.03737
  722         723      0.0266      0.01078            0            0      0.03738
  723         724     0.02659       0.0108            0            0      0.03739
  724         725     0.02658      0.01083            0            0       0.0374
  725         726     0.02657      0.01085            0            0      0.03741
  726         727     0.02655      0.01087            0            0      0.03743
  727         728     0.02654      0.01089            0            0      0.03744
  728         729     0.02653      0.01092            0            0      0.03745
  729         730     0.02652      0.01094            0            0      0.03746
  730         731     0.02651      0.01096            0            0      0.03747
  731         732      0.0265      0.01098            0            0      0.03748
  732         733     0.02649      0.01101            0            0       0.0375
  733         734     0.02648      0.01103            0            0      0.03751
  734         735     0.02647      0.01105            0            0      0.03752
  735         736     0.02646      0.01107            0            0      0.03753
  736         737     0.02645      0.01109            0            0      0.03754
  737         738     0.02644      0.01112            0            0      0.03755
  738         739     0.02643      0.01114            0            0      0.03757
  739         740     0.02641      0.01116            0            0      0.03758
  740         741      0.0264      0.01118            0            0      0.03759
  741         742     0.02639      0.01121            0            0       0.0376
  742         743     0.02638      0.01123            0            0      0.03761
  743         744     0.02637      0.01125            0            0      0.03762
  744         745     0.02636      0.01127            0            0      0.03764
  745         746     0.02635       0.0113            0            0      0.03765
  746         747     0.02634      0.01132            0            0      0.03766
  747         748     0.02633      0.01134            0            0      0.03767
  748         749     0.02632      0.01136            0            0      0.03768
  749         750     0.02631      0.01139            0            0      0.03769
  750         751      0.0263      0.01141            0            0      0.03771
  751         752     0.02629      0.01143            0            0      0.03772
  752         753     0.02627      0.01145            0            0      0.03773
  753         754     0.02626      0.01148            0            0      0.03774
  754         755     0.02625       0.0115            0            0      0.03775
  755         756     0.02624      0.01152            0            0      0.03776
  756         757     0.02623      0.01154            0            0      0.03778
  757         758     0.02622      0.01157            0            0      0.03779
  758         759     0.02621      0.01159            0            0       0.0378
  759         760      0.0262      0.01161            0            0      0.03781
  760         761     0.02619      0.01163            0            0      0.03782
  761         762     0.02618      0.01166            0            0      0.03783
  762         763     0.02617      0.01168            0            0      0.03785
  763         764     0.02616       0.0117            0            0      0.03786
  764         765     0.02615      0.01172            0            0      0.03787
  765         766     0.02613      0.01175            0            0      0.03788
  766         767     0.02612      0.01177            0            0      0.03789
  767         768     0.02611      0.01179            0            0       0.0379
  768         769      0.0261      0.01181            0            0      0.03792
  769         770     0.02609      0.01184            0            0      0.03793
  770         771     0.02608      0.01186            0            0      0.03794
  771         772     0.02607      0.01188            0            0      0.03795
  772         773     0.02606       0.0119            0            0      0.03796
  773         774     0.02605      0.01193            0            0      0.03797
  774         775     0.02604      0.01195            0            0      0.03799
  775         776     0.02603      0.01197            0            0        0.038
  776         777     0.02602      0.01199            0            0      0.03801
  777         778     0.02601      0.01202            0            0      0.03802
  778         779     0.02599      0.01204            0            0      0.03803
  779         780     0.02598      0.01206            0            0      0.03804
  780         781     0.02597      0.01208            0            0      0.03806
  781         782     0.02596      0.01211            0            0      0.03807
  782         783     0.02595      0.01213            0            0      0.03808
  783         784     0.02594      0.01215            0            0      0.03809
  784         785     0.02593      0.01217            0            0       0.0381
  785         786     0.02592       0.0122            0            0      0.03811
  786         787     0.02591      0.01222            0            0      0.03813
  787         788      0.0259      0.01224            0            0      0.03814
  788         789     0.02589      0.01226            0            0      0.03815
  789         790     0.02588      0.01228            0            0      0.03816
  790         791     0.02587      0.01231            0            0      0.03817
  791         792     0.02585      0.01233            0            0      0.03818
  792         793     0.02584      0.01235            0            0       0.0382
  793         794     0.02583      0.01237            0            0      0.03821
  794         795     0.02582       0.0124            0            0      0.03822
  795         796     0.02581      0.01242            0            0      0.03823
  796         797      0.0258      0.01244            0            0      0.03824
  797         798     0.02579      0.01246            0            0      0.03825
  798         799     0.02578      0.01249            0            0      0.03827
  799         800     0.02577      0.01251            0            0      0.03828
