    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  168        1.69      0.6721    0.0003563       0.6725
  169         1.7      0.6753    0.0003643       0.6757
  170        1.71      0.6784    0.0003724       0.6788
  171        1.72      0.6815    0.0003806       0.6819
  172        1.73      0.6845    0.0003889       0.6849
  173        1.74      0.6875    0.0003973       0.6879
  174        1.75      0.6905    0.0004058       0.6909
  175        1.76      0.6935    0.0004144       0.6939
  176        1.77      0.6964    0.0004232       0.6968
  177        1.78      0.6992     0.000432       0.6997
  178        1.79      0.7021     0.000441       0.7025
  179         1.8      0.7049    0.0004501       0.7053
  180        1.81      0.7077    0.0004593       0.7081
  181        1.82      0.7104    0.0004687       0.7109
  182        1.83      0.7131    0.0004781       0.7136
  183        1.84      0.7158    0.0004877       0.7163
  184        1.85      0.7185    0.0004974        0.719
  185        1.86      0.7211    0.0005073       0.7216
  186        1.87      0.7237    0.0005172       0.7242
  187        1.88      0.7263    0.0005273       0.7268
  188        1.89      0.7289    0.0005375       0.7294
  189         1.9      0.7314    0.0005478       0.7319
  190        1.91      0.7339    0.0005582       0.7344
  191        1.92      0.7363    0.0005688       0.7369
  192        1.93      0.7388    0.0005795       0.7394
  193        1.94      0.7412    0.0005903       0.7418
  194        1.95      0.7436    0.0006013       0.7442
  195        1.96       0.746    0.0006124       0.7466
  196        1.97      0.7483    0.0006236       0.7489
  197        1.98      0.7506    0.0006349       0.7513
  198        1.99      0.7529    0.0006464       0.7536
  199           2      0.7552     0.000658       0.7559
  200        2.01      0.7575    0.0006698       0.7581
  201        2.02      0.7597    0.0006816       0.7604
  202        2.03      0.7619    0.0006936       0.7626
  203        2.04      0.7641    0.0007058       0.7648
  204        2.05      0.7663    0.0007181        0.767
  205        2.06      0.7684    0.0007305       0.7691
  206        2.07      0.7705     0.000743       0.7713
  207        2.08      0.7726    0.0007557       0.7734
  208        2.09      0.7747    0.0007685       0.7755
  209         2.1      0.7768    0.0007815       0.7776
  210        2.11      0.7788    0.0007946       0.7796
  211        2.12      0.7808    0.0008079       0.7816
  212        2.13      0.7828    0.0008213       0.7837
  213        2.14      0.7848    0.0008348       0.7857
  214        2.15      0.7868    0.0008485       0.7876
  215        2.16      0.7888    0.0008623       0.7896
  216        2.17      0.7907    0.0008763       0.7916
  217        2.18      0.7926    0.0008904       0.7935
  218        2.19      0.7945    0.0009046       0.7954
  219         2.2      0.7964     0.000919       0.7973
  220        2.21      0.7982    0.0009336       0.7992
  221        2.22      0.8001    0.0009482        0.801
  222        2.23      0.8019    0.0009631       0.8029
  223        2.24      0.8037    0.0009781       0.8047
  224        2.25      0.8055    0.0009932       0.8065
  225        2.26      0.8073     0.001009       0.8083
  226        2.27      0.8091     0.001024       0.8101
  227        2.28      0.8108      0.00104       0.8119
  228        2.29      0.8126     0.001055       0.8136
  229         2.3      0.8143     0.001071       0.8153
  230        2.31       0.816     0.001087       0.8171
  231        2.32      0.8177     0.001103       0.8188
  232        2.33      0.8193      0.00112       0.8205
  233        2.34       0.821     0.001136       0.8221
  234        2.35      0.8227     0.001153       0.8238
  235        2.36      0.8243      0.00117       0.8255
  236        2.37      0.8259     0.001187       0.8271
  237        2.38      0.8275     0.001204       0.8287
  238        2.39      0.8291     0.001221       0.8303
  239         2.4      0.8307     0.001239       0.8319
  240        2.41      0.8322     0.001256       0.8335
  241        2.42      0.8338     0.001274       0.8351
  242        2.43      0.8353     0.001292       0.8366
  243        2.44      0.8369      0.00131       0.8382
  244        2.45      0.8384     0.001329       0.8397
  245        2.46      0.8399     0.001347       0.8412
  246        2.47      0.8414     0.001366       0.8427
  247        2.48      0.8429     0.001384       0.8442
  248        2.49      0.8443     0.001403       0.8457
  249         2.5      0.8458     0.001422       0.8472
  250        2.51      0.8472     0.001442       0.8487
  251        2.52      0.8486     0.001461       0.8501
  252        2.53      0.8501     0.001481       0.8516
  253        2.54      0.8515     0.001501        0.853
  254        2.55      0.8529     0.001521       0.8544
  255        2.56      0.8543     0.001541       0.8558
  256        2.57      0.8556     0.001561       0.8572
  257        2.58       0.857     0.001581       0.8586
  258        2.59      0.8584     0.001602         0.86
  259         2.6      0.8597     0.001623       0.8613
  260        2.61       0.861     0.001644       0.8627
  261        2.62      0.8624     0.001665        0.864
  262        2.63      0.8637     0.001686       0.8654
  263        2.64       0.865     0.001708       0.8667
  264        2.65      0.8663      0.00173        0.868
  265        2.66      0.8676     0.001752       0.8693
  266        2.67      0.8688     0.001774       0.8706
  267        2.68      0.8701     0.001796       0.8719
  268        2.69      0.8714     0.001818       0.8732
  269         2.7      0.8726     0.001841       0.8744
  270        2.71      0.8738     0.001864       0.8757
  271        2.72      0.8751     0.001887        0.877
  272        2.73      0.8763      0.00191       0.8782
  273        2.74      0.8775     0.001933       0.8794
  274        2.75      0.8787     0.001957       0.8807
  275        2.76      0.8799      0.00198       0.8819
  276        2.77      0.8811     0.002004       0.8831
  277        2.78      0.8823     0.002028       0.8843
  278        2.79      0.8834     0.002052       0.8855
  279         2.8      0.8846     0.002077       0.8867
  280        2.81      0.8857     0.002102       0.8878
  281        2.82      0.8869     0.002126        0.889
  282        2.83       0.888     0.002151       0.8902
  283        2.84      0.8891     0.002177       0.8913
  284        2.85      0.8903     0.002202       0.8925
  285        2.86      0.8914     0.002228       0.8936
  286        2.87      0.8925     0.002253       0.8947
  287        2.88      0.8936     0.002279       0.8959
  288        2.89      0.8947     0.002305        0.897
  289         2.9      0.8957     0.002332       0.8981
  290        2.91      0.8968     0.002358       0.8992
  291        2.92      0.8979     0.002385       0.9003
  292        2.93      0.8989     0.002412       0.9014
  293        2.94         0.9     0.002439       0.9024
  294        2.95       0.901     0.002467       0.9035
  295        2.96      0.9021     0.002494       0.9046
  296        2.97      0.9031     0.002522       0.9056
  297        2.98      0.9041      0.00255       0.9067
  298        2.99      0.9051     0.002578       0.9077
  299           3      0.9062     0.002606       0.9088
  300        3.01      0.9072     0.002635       0.9098
  301        3.02      0.9081     0.002663       0.9108
  302        3.03      0.9091     0.002692       0.9118
  303        3.04      0.9101     0.002722       0.9128
  304        3.05      0.9111     0.002751       0.9139
  305        3.06      0.9121      0.00278       0.9149
  306        3.07       0.913      0.00281       0.9158
  307        3.08       0.914      0.00284       0.9168
  308        3.09      0.9149      0.00287       0.9178
  309         3.1      0.9159     0.002901       0.9188
  310        3.11      0.9168     0.002931       0.9198
  311        3.12      0.9178     0.002962       0.9207
  312        3.13      0.9187     0.002993       0.9217
  313        3.14      0.9196     0.003024       0.9226
  314        3.15      0.9205     0.003056       0.9236
  315        3.16      0.9214     0.003087       0.9245
  316        3.17      0.9223     0.003119       0.9255
  317        3.18      0.9232     0.003151       0.9264
  318        3.19      0.9241     0.003184       0.9273
  319         3.2       0.925     0.003216       0.9282
  320        3.21      0.9259     0.003249       0.9291
  321        3.22      0.9268     0.003282       0.9301
  322        3.23      0.9276     0.003315        0.931
  323        3.24      0.9285     0.003348       0.9319
  324        3.25      0.9294     0.003382       0.9328
  325        3.26      0.9302     0.003416       0.9336
  326        3.27      0.9311      0.00345       0.9345
  327        3.28      0.9319     0.003484       0.9354
  328        3.29      0.9328     0.003518       0.9363
  329         3.3      0.9336     0.003553       0.9371
  330        3.31      0.9344     0.003588        0.938
  331        3.32      0.9352     0.003623       0.9389
  332        3.33      0.9361     0.003658       0.9397
  333        3.34      0.9369     0.003694       0.9406
  334        3.35      0.9377      0.00373       0.9414
  335        3.36      0.9385     0.003766       0.9423
  336        3.37      0.9393     0.003802       0.9431
  337        3.38      0.9401     0.003838       0.9439
  338        3.39      0.9409     0.003875       0.9448
  339         3.4      0.9417     0.003912       0.9456
  340        3.41      0.9424     0.003949       0.9464
  341        3.42      0.9432     0.003986       0.9472
  342        3.43       0.944     0.004024        0.948
  343        3.44      0.9448     0.004062       0.9488
  344        3.45      0.9455       0.0041       0.9496
  345        3.46      0.9463     0.004138       0.9504
  346        3.47       0.947     0.004177       0.9512
  347        3.48      0.9478     0.004216        0.952
  348        3.49      0.9485     0.004255       0.9528
  349         3.5      0.9493     0.004294       0.9536
  350        3.51        0.95     0.004333       0.9543
  351        3.52      0.9507     0.004373       0.9551
  352        3.53      0.9515     0.004413       0.9559
  353        3.54      0.9522     0.004453       0.9567
  354        3.55      0.9529     0.004493       0.9574
  355        3.56      0.9536     0.004534       0.9582
  356        3.57      0.9544     0.004575       0.9589
  357        3.58      0.9551     0.004616       0.9597
  358        3.59      0.9558     0.004657       0.9604
  359         3.6      0.9565     0.004699       0.9612
  360        3.61      0.9572     0.004741       0.9619
  361        3.62      0.9579     0.004783       0.9626
  362        3.63      0.9585     0.004825       0.9634
  363        3.64      0.9592     0.004868       0.9641
  364        3.65      0.9599      0.00491       0.9648
  365        3.66      0.9606     0.004953       0.9655
