    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  674        6.75       1.074      0.03267        1.107
  675        6.76       1.074      0.03282        1.107
  676        6.77       1.074      0.03296        1.107
  677        6.78       1.074      0.03311        1.108
  678        6.79       1.075      0.03325        1.108
  679         6.8       1.075       0.0334        1.108
  680        6.81       1.075      0.03354        1.109
  681        6.82       1.075      0.03369        1.109
  682        6.83       1.075      0.03384        1.109
  683        6.84       1.076      0.03398         1.11
  684        6.85       1.076      0.03413         1.11
  685        6.86       1.076      0.03428         1.11
  686        6.87       1.076      0.03443        1.111
  687        6.88       1.076      0.03458        1.111
  688        6.89       1.077      0.03473        1.111
  689         6.9       1.077      0.03488        1.112
  690        6.91       1.077      0.03503        1.112
  691        6.92       1.077      0.03518        1.112
  692        6.93       1.077      0.03533        1.113
  693        6.94       1.078      0.03548        1.113
  694        6.95       1.078      0.03563        1.113
  695        6.96       1.078      0.03578        1.114
  696        6.97       1.078      0.03593        1.114
  697        6.98       1.078      0.03609        1.114
  698        6.99       1.078      0.03624        1.115
  699           7       1.079      0.03639        1.115
  700        7.01       1.079      0.03655        1.115
  701        7.02       1.079       0.0367        1.116
  702        7.03       1.079      0.03686        1.116
  703        7.04       1.079      0.03701        1.116
  704        7.05        1.08      0.03717        1.117
  705        7.06        1.08      0.03732        1.117
  706        7.07        1.08      0.03748        1.117
  707        7.08        1.08      0.03764        1.118
  708        7.09        1.08      0.03779        1.118
  709         7.1        1.08      0.03795        1.118
  710        7.11       1.081      0.03811        1.119
  711        7.12       1.081      0.03827        1.119
  712        7.13       1.081      0.03843        1.119
  713        7.14       1.081      0.03859         1.12
  714        7.15       1.081      0.03875         1.12
  715        7.16       1.082      0.03891         1.12
  716        7.17       1.082      0.03907        1.121
  717        7.18       1.082      0.03923        1.121
  718        7.19       1.082      0.03939        1.121
  719         7.2       1.082      0.03955        1.122
  720        7.21       1.082      0.03971        1.122
  721        7.22       1.083      0.03987        1.122
  722        7.23       1.083      0.04004        1.123
  723        7.24       1.083       0.0402        1.123
  724        7.25       1.083      0.04036        1.123
  725        7.26       1.083      0.04053        1.124
  726        7.27       1.083      0.04069        1.124
  727        7.28       1.084      0.04086        1.124
  728        7.29       1.084      0.04102        1.125
  729         7.3       1.084      0.04119        1.125
  730        7.31       1.084      0.04135        1.125
  731        7.32       1.084      0.04152        1.126
  732        7.33       1.084      0.04169        1.126
  733        7.34       1.085      0.04185        1.127
  734        7.35       1.085      0.04202        1.127
  735        7.36       1.085      0.04219        1.127
  736        7.37       1.085      0.04236        1.128
  737        7.38       1.085      0.04253        1.128
  738        7.39       1.085       0.0427        1.128
  739         7.4       1.086      0.04287        1.129
  740        7.41       1.086      0.04304        1.129
  741        7.42       1.086      0.04321        1.129
  742        7.43       1.086      0.04338         1.13
  743        7.44       1.086      0.04355         1.13
  744        7.45       1.086      0.04372         1.13
  745        7.46       1.087      0.04389        1.131
  746        7.47       1.087      0.04407        1.131
  747        7.48       1.087      0.04424        1.131
  748        7.49       1.087      0.04441        1.132
  749         7.5       1.087      0.04459        1.132
  750        7.51       1.087      0.04476        1.132
  751        7.52       1.088      0.04493        1.133
  752        7.53       1.088      0.04511        1.133
  753        7.54       1.088      0.04528        1.133
  754        7.55       1.088      0.04546        1.134
  755        7.56       1.088      0.04564        1.134
  756        7.57       1.088      0.04581        1.134
  757        7.58       1.089      0.04599        1.135
  758        7.59       1.089      0.04617        1.135
  759         7.6       1.089      0.04635        1.135
  760        7.61       1.089      0.04652        1.136
  761        7.62       1.089       0.0467        1.136
  762        7.63       1.089      0.04688        1.136
  763        7.64       1.089      0.04706        1.137
  764        7.65        1.09      0.04724        1.137
  765        7.66        1.09      0.04742        1.137
  766        7.67        1.09       0.0476        1.138
  767        7.68        1.09      0.04778        1.138
  768        7.69        1.09      0.04796        1.138
  769         7.7        1.09      0.04815        1.139
  770        7.71       1.091      0.04833        1.139
  771        7.72       1.091      0.04851        1.139
  772        7.73       1.091       0.0487         1.14
  773        7.74       1.091      0.04888         1.14
  774        7.75       1.091      0.04906         1.14
  775        7.76       1.091      0.04925        1.141
  776        7.77       1.091      0.04943        1.141
  777        7.78       1.092      0.04962        1.141
  778        7.79       1.092       0.0498        1.142
  779         7.8       1.092      0.04999        1.142
  780        7.81       1.092      0.05018        1.142
  781        7.82       1.092      0.05036        1.143
  782        7.83       1.092      0.05055        1.143
  783        7.84       1.093      0.05074        1.143
  784        7.85       1.093      0.05093        1.144
  785        7.86       1.093      0.05111        1.144
  786        7.87       1.093       0.0513        1.144
  787        7.88       1.093      0.05149        1.145
  788        7.89       1.093      0.05168        1.145
  789         7.9       1.093      0.05187        1.145
  790        7.91       1.094      0.05206        1.146
  791        7.92       1.094      0.05226        1.146
  792        7.93       1.094      0.05245        1.146
  793        7.94       1.094      0.05264        1.147
  794        7.95       1.094      0.05283        1.147
  795        7.96       1.094      0.05302        1.147
  796        7.97       1.094      0.05322        1.148
  797        7.98       1.095      0.05341        1.148
  798        7.99       1.095       0.0536        1.148
  799           8       1.095       0.0538        1.149
  800        8.01       1.095      0.05399        1.149
  801        8.02       1.095      0.05419        1.149
  802        8.03       1.095      0.05438         1.15
  803        8.04       1.095      0.05458         1.15
  804        8.05       1.096      0.05478         1.15
  805        8.06       1.096      0.05497        1.151
  806        8.07       1.096      0.05517        1.151
  807        8.08       1.096      0.05537        1.151
  808        8.09       1.096      0.05557        1.152
  809         8.1       1.096      0.05577        1.152
  810        8.11       1.096      0.05597        1.152
  811        8.12       1.097      0.05616        1.153
  812        8.13       1.097      0.05636        1.153
  813        8.14       1.097      0.05656        1.153
  814        8.15       1.097      0.05677        1.154
  815        8.16       1.097      0.05697        1.154
  816        8.17       1.097      0.05717        1.154
  817        8.18       1.097      0.05737        1.155
  818        8.19       1.097      0.05757        1.155
  819         8.2       1.098      0.05778        1.155
  820        8.21       1.098      0.05798        1.156
  821        8.22       1.098      0.05818        1.156
  822        8.23       1.098      0.05839        1.156
  823        8.24       1.098      0.05859        1.157
  824        8.25       1.098       0.0588        1.157
  825        8.26       1.098        0.059        1.157
  826        8.27       1.099      0.05921        1.158
  827        8.28       1.099      0.05941        1.158
  828        8.29       1.099      0.05962        1.158
  829         8.3       1.099      0.05983        1.159
  830        8.31       1.099      0.06003        1.159
  831        8.32       1.099      0.06024        1.159
  832        8.33       1.099      0.06045         1.16
  833        8.34       1.099      0.06066         1.16
  834        8.35         1.1      0.06087         1.16
  835        8.36         1.1      0.06108        1.161
  836        8.37         1.1      0.06129        1.161
  837        8.38         1.1       0.0615        1.161
  838        8.39         1.1      0.06171        1.162
  839         8.4         1.1      0.06192        1.162
  840        8.41         1.1      0.06213        1.162
  841        8.42         1.1      0.06234        1.163
  842        8.43       1.101      0.06256        1.163
  843        8.44       1.101      0.06277        1.163
  844        8.45       1.101      0.06298        1.164
  845        8.46       1.101       0.0632        1.164
  846        8.47       1.101      0.06341        1.165
  847        8.48       1.101      0.06362        1.165
  848        8.49       1.101      0.06384        1.165
  849         8.5       1.101      0.06405        1.166
  850        8.51       1.102      0.06427        1.166
  851        8.52       1.102      0.06449        1.166
  852        8.53       1.102       0.0647        1.167
  853        8.54       1.102      0.06492        1.167
  854        8.55       1.102      0.06514        1.167
  855        8.56       1.102      0.06536        1.168
  856        8.57       1.102      0.06557        1.168
  857        8.58       1.102      0.06579        1.168
  858        8.59       1.103      0.06601        1.169
  859         8.6       1.103      0.06623        1.169
  860        8.61       1.103      0.06645        1.169
  861        8.62       1.103      0.06667         1.17
  862        8.63       1.103      0.06689         1.17
  863        8.64       1.103      0.06711         1.17
  864        8.65       1.103      0.06734        1.171
  865        8.66       1.103      0.06756        1.171
  866        8.67       1.104      0.06778        1.171
  867        8.68       1.104        0.068        1.172
  868        8.69       1.104      0.06823        1.172
  869         8.7       1.104      0.06845        1.172
  870        8.71       1.104      0.06867        1.173
  871        8.72       1.104       0.0689        1.173
  872        8.73       1.104      0.06912        1.173
  873        8.74       1.104      0.06935        1.174
  874        8.75       1.105      0.06958        1.174
  875        8.76       1.105       0.0698        1.174
  876        8.77       1.105      0.07003        1.175
  877        8.78       1.105      0.07026        1.175
  878        8.79       1.105      0.07048        1.175
  879         8.8       1.105      0.07071        1.176
  880        8.81       1.105      0.07094        1.176
  881        8.82       1.105      0.07117        1.177
  882        8.83       1.105       0.0714        1.177
  883        8.84       1.106      0.07163        1.177
  884        8.85       1.106      0.07186        1.178
  885        8.86       1.106      0.07209        1.178
  886        8.87       1.106      0.07232        1.178
  887        8.88       1.106      0.07255        1.179
  888        8.89       1.106      0.07278        1.179
  889         8.9       1.106      0.07302        1.179
  890        8.91       1.106      0.07325         1.18
  891        8.92       1.107      0.07348         1.18
  892        8.93       1.107      0.07371         1.18
  893        8.94       1.107      0.07395        1.181
  894        8.95       1.107      0.07418        1.181
  895        8.96       1.107      0.07442        1.181
  896        8.97       1.107      0.07465        1.182
  897        8.98       1.107      0.07489        1.182
  898        8.99       1.107      0.07512        1.182
  899           9       1.107      0.07536        1.183
  900        9.01       1.108       0.0756        1.183
  901        9.02       1.108      0.07583        1.183
  902        9.03       1.108      0.07607        1.184
  903        9.04       1.108      0.07631        1.184
  904        9.05       1.108      0.07655        1.185
  905        9.06       1.108      0.07679        1.185
  906        9.07       1.108      0.07703        1.185
  907        9.08       1.108      0.07727        1.186
  908        9.09       1.108      0.07751        1.186
  909         9.1       1.109      0.07775        1.186
  910        9.11       1.109      0.07799        1.187
  911        9.12       1.109      0.07823        1.187
  912        9.13       1.109      0.07847        1.187
  913        9.14       1.109      0.07872        1.188
  914        9.15       1.109      0.07896        1.188
  915        9.16       1.109       0.0792        1.188
  916        9.17       1.109      0.07944        1.189
  917        9.18       1.109      0.07969        1.189
  918        9.19       1.109      0.07993        1.189
  919         9.2        1.11      0.08018         1.19
  920        9.21        1.11      0.08042         1.19
  921        9.22        1.11      0.08067         1.19
  922        9.23        1.11      0.08091        1.191
  923        9.24        1.11      0.08116        1.191
  924        9.25        1.11      0.08141        1.192
  925        9.26        1.11      0.08166        1.192
  926        9.27        1.11       0.0819        1.192
  927        9.28        1.11      0.08215        1.193
  928        9.29       1.111       0.0824        1.193
  929         9.3       1.111      0.08265        1.193
  930        9.31       1.111       0.0829        1.194
  931        9.32       1.111      0.08315        1.194
  932        9.33       1.111       0.0834        1.194
  933        9.34       1.111      0.08365        1.195
  934        9.35       1.111       0.0839        1.195
  935        9.36       1.111      0.08415        1.195
  936        9.37       1.111       0.0844        1.196
  937        9.38       1.111      0.08466        1.196
  938        9.39       1.112      0.08491        1.196
  939         9.4       1.112      0.08516        1.197
  940        9.41       1.112      0.08542        1.197
  941        9.42       1.112      0.08567        1.198
  942        9.43       1.112      0.08592        1.198
  943        9.44       1.112      0.08618        1.198
  944        9.45       1.112      0.08643        1.199
  945        9.46       1.112      0.08669        1.199
  946        9.47       1.112      0.08695        1.199
  947        9.48       1.113       0.0872          1.2
  948        9.49       1.113      0.08746          1.2
  949         9.5       1.113      0.08772          1.2
  950        9.51       1.113      0.08798        1.201
  951        9.52       1.113      0.08823        1.201
  952        9.53       1.113      0.08849        1.201
  953        9.54       1.113      0.08875        1.202
  954        9.55       1.113      0.08901        1.202
  955        9.56       1.113      0.08927        1.203
  956        9.57       1.113      0.08953        1.203
  957        9.58       1.113      0.08979        1.203
  958        9.59       1.114      0.09005        1.204
  959         9.6       1.114      0.09031        1.204
  960        9.61       1.114      0.09058        1.204
  961        9.62       1.114      0.09084        1.205
  962        9.63       1.114       0.0911        1.205
  963        9.64       1.114      0.09136        1.205
  964        9.65       1.114      0.09163        1.206
  965        9.66       1.114      0.09189        1.206
  966        9.67       1.114      0.09216        1.207
  967        9.68       1.114      0.09242        1.207
  968        9.69       1.115      0.09269        1.207
  969         9.7       1.115      0.09295        1.208
  970        9.71       1.115      0.09322        1.208
  971        9.72       1.115      0.09349        1.208
  972        9.73       1.115      0.09375        1.209
  973        9.74       1.115      0.09402        1.209
  974        9.75       1.115      0.09429        1.209
  975        9.76       1.115      0.09456         1.21
  976        9.77       1.115      0.09482         1.21
  977        9.78       1.115      0.09509        1.211
  978        9.79       1.116      0.09536        1.211
  979         9.8       1.116      0.09563        1.211
  980        9.81       1.116       0.0959        1.212
  981        9.82       1.116      0.09617        1.212
  982        9.83       1.116      0.09644        1.212
  983        9.84       1.116      0.09672        1.213
  984        9.85       1.116      0.09699        1.213
  985        9.86       1.116      0.09726        1.213
  986        9.87       1.116      0.09753        1.214
  987        9.88       1.116      0.09781        1.214
  988        9.89       1.116      0.09808        1.215
  989         9.9       1.117      0.09835        1.215
  990        9.91       1.117      0.09863        1.215
  991        9.92       1.117       0.0989        1.216
  992        9.93       1.117      0.09918        1.216
  993        9.94       1.117      0.09945        1.216
  994        9.95       1.117      0.09973        1.217
  995        9.96       1.117          0.1        1.217
  996        9.97       1.117       0.1003        1.217
  997        9.98       1.117       0.1006        1.218
  998        9.99       1.117       0.1008        1.218
  999          10       1.117       0.1011        1.219
