    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  158        15.9        1.01       0.2763        1.287
  159          16       1.005       0.2774        1.282
  160        16.1      0.9991       0.2784        1.277
  161        16.2      0.9934       0.2794        1.273
  162        16.3      0.9878       0.2804        1.268
  163        16.4      0.9822       0.2814        1.264
  164        16.5      0.9765       0.2824        1.259
  165        16.6      0.9709       0.2835        1.254
  166        16.7      0.9653       0.2845         1.25
  167        16.8      0.9597       0.2855        1.245
  168        16.9       0.954       0.2865        1.241
  169          17      0.9484       0.2875        1.236
  170        17.1      0.9457       0.2871        1.233
  171        17.2      0.9429       0.2868         1.23
  172        17.3      0.9402       0.2864        1.227
  173        17.4      0.9375        0.286        1.223
  174        17.5      0.9347       0.2856         1.22
  175        17.6       0.932       0.2853        1.217
  176        17.7      0.9293       0.2849        1.214
  177        17.8      0.9265       0.2845        1.211
  178        17.9      0.9238       0.2841        1.208
  179          18      0.9211       0.2838        1.205
  180        18.1      0.9183       0.2834        1.202
  181        18.2      0.9156        0.283        1.199
  182        18.3      0.9129       0.2826        1.195
  183        18.4      0.9101       0.2823        1.192
  184        18.5      0.9074       0.2819        1.189
  185        18.6      0.9047       0.2815        1.186
  186        18.7      0.9019       0.2811        1.183
  187        18.8      0.8992       0.2808         1.18
  188        18.9      0.8965       0.2804        1.177
  189          19      0.8937         0.28        1.174
  190        19.1       0.891       0.2796        1.171
  191        19.2      0.8883       0.2792        1.168
  192        19.3      0.8855       0.2789        1.164
  193        19.4      0.8828       0.2785        1.161
  194        19.5      0.8801       0.2781        1.158
  195        19.6      0.8773       0.2777        1.155
  196        19.7      0.8746       0.2774        1.152
  197        19.8      0.8719        0.277        1.149
  198        19.9      0.8691       0.2766        1.146
  199          20      0.8664       0.2762        1.143
  200        20.1      0.8617       0.2763        1.138
  201        20.2      0.8571       0.2763        1.133
  202        20.3      0.8524       0.2763        1.129
  203        20.4      0.8477       0.2763        1.124
  204        20.5       0.843       0.2763        1.119
  205        20.6      0.8384       0.2763        1.115
  206        20.7      0.8337       0.2763         1.11
  207        20.8       0.829       0.2764        1.105
  208        20.9      0.8243       0.2764        1.101
  209          21      0.8197       0.2764        1.096
  210        21.1       0.815       0.2764        1.091
  211        21.2      0.8103       0.2764        1.087
  212        21.3      0.8057       0.2764        1.082
  213        21.4       0.801       0.2765        1.077
  214        21.5      0.7963       0.2765        1.073
  215        21.6      0.7916       0.2765        1.068
  216        21.7       0.787       0.2765        1.063
  217        21.8      0.7823       0.2765        1.059
  218        21.9      0.7776       0.2765        1.054
  219          22       0.773       0.2765        1.049
  220        22.1      0.7705       0.2764        1.047
  221        22.2      0.7681       0.2763        1.044
  222        22.3      0.7656       0.2763        1.042
  223        22.4      0.7632       0.2762        1.039
  224        22.5      0.7607       0.2761        1.037
  225        22.6      0.7583        0.276        1.034
  226        22.7      0.7558       0.2759        1.032
  227        22.8      0.7534       0.2758        1.029
  228        22.9      0.7509       0.2757        1.027
  229          23      0.7485       0.2756        1.024
  230        23.1       0.746       0.2755        1.022
  231        23.2      0.7436       0.2754        1.019
  232        23.3      0.7411       0.2753        1.016
  233        23.4      0.7387       0.2752        1.014
  234        23.5      0.7362       0.2751        1.011
  235        23.6      0.7338        0.275        1.009
  236        23.7      0.7313       0.2749        1.006
  237        23.8      0.7289       0.2748        1.004
  238        23.9      0.7265       0.2747        1.001
  239          24       0.724       0.2746       0.9986
  240        24.1      0.7216       0.2746       0.9961
  241        24.2      0.7191       0.2745       0.9936
  242        24.3      0.7167       0.2744        0.991
  243        24.4      0.7142       0.2743       0.9885
  244        24.5      0.7118       0.2742       0.9859
  245        24.6      0.7093       0.2741       0.9834
  246        24.7      0.7069        0.274       0.9809
  247        24.8      0.7044       0.2739       0.9783
  248        24.9       0.702       0.2738       0.9758
  249          25      0.6995       0.2737       0.9732
  250        25.1      0.6975       0.2735        0.971
  251        25.2      0.6955       0.2734       0.9689
  252        25.3      0.6935       0.2732       0.9667
  253        25.4      0.6915        0.273       0.9645
  254        25.5      0.6895       0.2729       0.9623
  255        25.6      0.6875       0.2727       0.9602
  256        25.7      0.6854       0.2725        0.958
  257        25.8      0.6834       0.2724       0.9558
  258        25.9      0.6814       0.2722       0.9536
  259          26      0.6794        0.272       0.9514
  260        26.1      0.6774       0.2719       0.9493
  261        26.2      0.6754       0.2717       0.9471
  262        26.3      0.6734       0.2715       0.9449
  263        26.4      0.6714       0.2713       0.9427
  264        26.5      0.6694       0.2712       0.9405
  265        26.6      0.6673        0.271       0.9384
  266        26.7      0.6653       0.2708       0.9362
  267        26.8      0.6633       0.2707        0.934
  268        26.9      0.6613       0.2705       0.9318
  269          27      0.6593       0.2703       0.9296
  270        27.1      0.6576       0.2702       0.9279
