1.31E-09  1.78E-15
5.23E-09  8.84E-16
2.09E-08  5.91E-16
3.27E-08  4.82E-16
4.70E-08  3.78E-16
8.32E-08  2.98E-16
1.31E-07  2.49E-16
1.88E-07  2.05E-16
2.56E-07  1.77E-16
3.35E-07  1.56E-16
4.23E-07  1.41E-16
5.12E-07  1.21E-16
7.53E-07  9.82E-17
1.18E-06  8.56E-17
1.51E-06  7.30E-17
2.09E-06  6.23E-17
2.74E-06  5.42E-17
3.53E-06  4.73E-17
4.70E-06  4.23E-17
5.66E-06  3.83E-17
6.74E-06  3.48E-17
8.32E-06  3.19E-17
9.62E-06  2.99E-17
1.10E-05  2.83E-17
1.31E-05  2.67E-17
1.47E-05  2.55E-17
1.58E-05  2.42E-17
1.76E-05  2.29E-17
1.88E-05  2.16E-17
2.08E-05  2.08E-17
2.28E-05  2.02E-17
2.42E-05  1.98E-17
2.56E-05  1.93E-17
2.71E-05  1.89E-17
2.86E-05  1.85E-17
2.94E-05  1.81E-17
3.10E-05  1.75E-17
3.35E-05  1.67E-17
3.60E-05  1.59E-17
3.87E-05  1.52E-17
4.05E-05  1.49E-17
4.23E-05  1.47E-17
4.33E-05  1.45E-17
4.62E-05  1.42E-17
4.72E-05  1.40E-17
4.92E-05  1.37E-17
5.12E-05  1.34E-17
5.33E-05  1.30E-17
5.65E-05  1.28E-17
5.76E-05  1.25E-17
6.10E-05  1.22E-17
6.33E-05  1.20E-17
6.56E-05  1.18E-17
6.67E-05  1.16E-17
7.03E-05  1.15E-17
7.16E-05  1.12E-17
7.53E-05  1.10E-17
7.78E-05  1.08E-17
7.91E-05  1.07E-17
8.17E-05  1.05E-17
8.43E-05  1.03E-17
8.83E-05  1.02E-17
9.11E-05  1.00E-17
9.39E-05  9.85E-18
9.67E-05  9.73E-18
9.81E-05  9.58E-18
1.03E-04  9.41E-18
1.10E-04  9.21E-18
1.18E-04  9.00E-18
1.26E-04  8.78E-18
1.34E-04  8.58E-18
1.41E-04  8.34E-18
1.51E-04  8.08E-18
1.60E-04  7.83E-18
1.69E-04  7.58E-18
1.79E-04  7.32E-18
1.89E-04  7.05E-18
1.99E-04  6.84E-18
2.09E-04  6.49E-18
2.74E-04  5.95E-18
3.27E-04  5.45E-18
3.81E-04  4.94E-18
4.70E-04  4.70E-18
4.99E-04  4.52E-18
5.66E-04  4.33E-18
6.04E-04  4.23E-18
6.37E-04  4.12E-18
7.16E-04  3.93E-18
8.32E-04  3.79E-18
9.18E-04  3.68E-18
1.06E-03  3.60E-18
1.31E-03  3.53E-18
1.58E-03  3.44E-18
1.88E-03  3.38E-18
2.21E-03  3.46E-18
2.56E-03  3.56E-18
2.94E-03  3.65E-18
3.35E-03  3.75E-18
3.78E-03  3.87E-18
4.23E-03  4.26E-18
5.76E-03  4.93E-18
7.53E-03  5.92E-18
1.03E-02  7.69E-18
1.51E-02  9.95E-18
2.09E-02  1.22E-17
2.65E-02  1.44E-17
3.27E-02  1.67E-17
3.95E-02  1.91E-17
4.70E-02  2.22E-17
5.76E-02  2.57E-17
7.00E-02  2.91E-17
8.32E-02  3.26E-17
9.89E-02  3.85E-17
1.31E-01  4.89E-17
1.82E-01  5.90E-17
2.09E-01  6.61E-17
2.42E-01  7.31E-17
2.71E-01  7.84E-17
2.94E-01  8.51E-17
3.35E-01  9.76E-17
3.78E-01  1.22E-16
4.23E-01  1.61E-16
5.12E-01  1.10E-16
6.33E-01  1.82E-16
7.53E-01  1.35E-16
8.83E-01  1.80E-16
1.03E+00  2.11E-16
1.18E+00  2.35E-16
1.34E+00  4.05E-16
1.51E+00  2.98E-16
1.69E+00  3.72E-16
1.89E+00  3.07E-16
2.09E+00  3.79E-16
2.31E+00  3.57E-16
2.53E+00  5.00E-16
2.74E+00  6.49E-16
3.01E+00  6.44E-16
3.27E+00  1.06E-15
3.53E+00  1.13E-15
3.81E+00  1.26E-15
4.07E+00  1.42E-15
4.40E+00  1.22E-15
4.70E+00  1.03E-15
4.99E+00  1.09E-15
5.35E+00  1.01E-15
5.66E+00  1.01E-15
6.04E+00  1.01E-15
6.37E+00  1.03E-15
6.74E+00  1.10E-15
7.16E+00  1.35E-15
7.55E+00  1.40E-15
7.91E+00  1.39E-15
8.32E+00  1.34E-15
8.79E+00  1.35E-15
9.18E+00  1.41E-15
9.67E+00  1.54E-15
1.01E+01  1.68E-15
1.06E+01  1.78E-15
1.10E+01  1.93E-15
1.15E+01  2.10E-15
1.20E+01  2.24E-15
1.25E+01  2.42E-15
1.31E+01  2.55E-15
1.35E+01  2.65E-15
1.39E+01  2.71E-15
1.41E+01  2.77E-15
1.44E+01  2.83E-15
1.47E+01  2.92E-15
1.52E+01  3.01E-15
1.58E+01  3.09E-15
1.63E+01  3.17E-15
1.69E+01  3.23E-15
1.75E+01  3.28E-15
1.81E+01  3.37E-15
1.87E+01  3.55E-15
